id,title,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts22490,Super Robot Monkey Team Hyperforce Go!,"Super Robot Monkey Team Hyperforce Go! is an American/Japanese animated television series, and was created by Ciro Nieli, one of the directors of Teen Titans, with animation being done by a Japanese studio known as The Answer Studio. Set mainly on the fictional planet of Shuggazoom, the series follows the adventures of five cyborg monkeys and a human boy named Chiro as they struggle to protect their planet - and the rest of the universe - from the forces of evil.

As is obvious from the visual appearance of the show, there is a significant anime influence present, despite being produced for American television. It was also influenced by Star Trek, Super Sentai, Voltron, and Star Wars. The show also contains various references to pop culture, a notable example being the episode ""Season of the Skull"", which is a parody of the 1970s thriller The Wicker Man.",2004,TV-Y7,27,"['action', 'family', 'fantasy', 'scifi', 'animation', 'comedy']","['US', 'JP']",4.0,tt0423746,6.3,2313.0,5.228,7.5
ts20539,The Super Hero Squad Show,"The Super Hero Squad Show is an American cartoon series by Marvel Animation. It is based on the Marvel Super Hero Squad action figure line from Hasbro, which portray the Avengers, the X-Men, and various other characters of the Marvel Universe in a cartoonish super-deformed-style. It is also a self-aware parody of the Marvel characters, with influences taken from on the comedic Mini Marvels series of parody comic books, in that the heroes tend to find themselves in comedic situations, and have cartoonish bents in comparison to their usually serious personalities, and is an overall comedic take on the Avengers. The series' animation was produced by Film Roman and Marvel Animation.",2009,TV-Y7,23,"['action', 'comedy', 'family', 'scifi', 'animation']",['US'],2.0,tt1388589,5.9,1792.0,21.092,7.7
ts5776,Fantastic Four: World's Greatest Heroes,"Mister Fantastic, the Invisible Woman, the Human Torch, and Thing battle some of their greatest foes, including Doctor Doom, Ronan the Accuser, the Multiple Man, and Mole Man.",2006,TV-Y7,23,"['action', 'animation', 'family', 'scifi']",['US'],1.0,tt0830298,6.8,2341.0,10.357000000000001,7.5
ts20637,Special Agent Oso,"Special Agent Oso is a Disney Channel interactive animated series created by Ford Riley. Special Agent Oso hit the air on April 4, 2009 with a six episode block, and the companion 15-episode series Three Healthy Steps first aired from February 14 to February 27, 2011. The program was originally part of the Playhouse Disney block intended for preschoolers. On February 14, 2011, it was moved to the Disney Junior block that served as Playhouse Disney's replacement. It is shown on Mini CITV and ITV1 at 06:35am Sundays. The show will stay on Disney Junior because it is one of the main shows shown on Playhouse Disney.",2009,TV-Y,20,"['animation', 'action', 'family']",['US'],2.0,tt1124354,5.2,601.0,7.1610000000000005,7.7
ts21164,The Suite Life on Deck,"Zack and Cody Martin are aboard the SS Tipton, a luxury passenger cruise liner owned by London's father. The ship cruises the world with tourists and students who attend classes at Seven Seas High, the one high school that London's dad thinks will make his daughter a better student. While out at sea, Zack and Cody still have their compass pointed towards mischief, and London learns to live a ""fabu-less"" lifestyle, including sharing a small room with Bailey, a country girl from Kansas.",2008,TV-PG,24,"['comedy', 'family', 'action', 'drama']",['US'],3.0,tt1181917,6.3,18564.0,27.69,8.1
ts21313,Sonny with a Chance,"Allison ""Sonny"" Munroe makes the leap from the Midwest to Los Angeles to join the cast of ""So Random!,"" the most popular sketch comedy TV show for kids and tweens. Her fellow young actors are resident teen queen Tawni, super suave Nico, gregarious funnyman Grady and quirky Zora. Now Sonny must somehow balance these new friendships while adjusting to her family's decidedly different way of life in Hollywood. Meanwhile, Sonny must also contend with heartthrob Chad Dylan Cooper, star of the rival show ""MacKenzie Falls,"" who makes it known that he thinks his dramatic work is better than her comedy career.",2009,TV-G,22,"['comedy', 'family', 'romance']",['US'],3.0,tt1252374,6.0,12121.0,18.515,8.0
ts41271,Handy Manny,"Handy Manny is a Disney animated children's television program that premiered on September 16, 2006.",2006,TV-Y,20,"['comedy', 'animation', 'family']",['US'],4.0,tt0451460,5.5,1964.0,18.669,7.1
ts21756,Zeke and Luther,"Zeke and Luther want nothing more in the world than to become world-famous skateboarders. Together with their friends, skating rivals, and family, Zeke & Luther find themselves always busy getting into mischief.",2009,TV-Y7,22,"['comedy', 'action', 'family', 'sport']",['US'],3.0,tt1189346,6.3,3413.0,9.607000000000001,8.0
ts14113,The Book of Pooh,"The Book of Pooh is an American television series that aired on the Disney Channel. It is the third television series to feature the characters from the Disney franchise based on A. A. Milne's works; the other two were the live-action Welcome to Pooh Corner and the animated The New Adventures of Winnie the Pooh which ran from 1988-1991. It premiered on February 9, 2001, and completed its run on July 8, 2003. The show is produced by Shadow Projects, and Playhouse Disney. This is the first Pooh show where Jim Cummings voices Tigger filling in for the late Paul Winchell.

It was shown in U.K on a Channel 5 Block known as 'Milkshake!' as well as Playhouse Disney. It's run on Milkshake! ended around 2006 to 2007.",2001,TV-Y,26,"['comedy', 'animation', 'western', 'family', 'fantasy']",['US'],3.0,tt0274240,6.3,490.0,4.775,7.1
ts22399,Higglytown Heroes,"Higglytown Heroes is a children's television series currently airing on the Disney Junior portion of the Disney Channel, or, on some cable networks, the Playhouse Disney channel. The theme song of the show, Here in Higglytown, is performed by They Might Be Giants. Higglytown Heroes returned to Disney Junior on its cable and satellite channel replacing SOAPnet on March 23, 2012.",2004,TV-Y,24,"['animation', 'family']",['US'],3.0,tt0406419,4.8,539.0,14.248,8.0
ts21235,The Replacements,"Two orphans, Riley and little brother Todd, answer an ad for Fleemco Replacement People and order new parents, a spy mother and daredevil father. As Riley and Todd go on adventures (or misadventures as it were), they team up with Conrad Fleem to replace any adult in their lives that they don't like, but they don't get to choose the replacements and sometimes their good intentions don't work out as they planned",2007,TV-G,23,"['animation', 'comedy', 'family', 'scifi']",['US'],3.0,tt0816401,5.8,2923.0,19.442,6.7
ts29942,Pair of Kings,"Brady and Boomer, 16-year-old fraternal twins, are typical teens being raised by relatives  in Chicago.  But when the Royal Secretary to the Throne of the Island of Kinkou, arrives to inform the boys of their lineage, their lives change drastically.  Now, Brady and Boomer must relocate and claim the throne as joint Kings of the island.",2010,TV-Y7,24,"['action', 'scifi', 'comedy', 'family', 'fantasy']",['US'],3.0,tt1571313,5.9,4002.0,16.067,8.0
