id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts82077,Wild Chile: Un viaje salvaje,SHOW,This beautiful and intriguing series explores the incredible wildlife of Chile which encompasses a diverse range of animals and plants.,2017,TV-PG,49,['documentation'],['CL'],1.0,tt11652174,7.5,64.0,0.6,
ts83336,Japan: Between Earth & Sky,SHOW,"Discover some the most beautiful sites in the Japan, the great spectacle of nature and the subtle balance that prevails between tradition and modernity.",2018,TV-PG,44,['documentation'],['FR'],1.0,tt11710062,7.5,124.0,1.466,8.0
ts96393,Marvel Super Hero Adventures,SHOW,"Spider-Man teams with other Marvel heroes, in this short-form series, to teach the benefits of friendship, co-operation and heroism.",2017,TV-Y,4,"['action', 'family', 'animation']",['US'],4.0,tt7726152,5.7,136.0,2.708,7.5
ts251053,Animal Showdown,SHOW,"Enter the ring to witness an epic battle between two animals! Stats, fun facts, photos, and in-depth profiles about each contender will help you pick winners in more than a dozen mighty matchups.",2018,TV-G,4,"['documentation', 'family']",['US'],1.0,,,,0.6,
ts68223,Paradise Islands,SHOW,"The tropical islands that lie between Asia and Australia are among the biologically richest on earth, and home to a vast number of plants and animals. From tree kangaroos to tarsiers, manta rays to mudskippers, the region abounds with life. But why? The answer lies deep in time, due to the many millions of years these islands have existed - and the power of the earth, the sun and the moon.",2017,TV-PG,44,"['drama', 'family', 'action', 'comedy']",['GB'],1.0,tt0075558,4.4,10.0,0.889,5.0
ts85083,LEGO Star Wars: All-Stars,SHOW,"An adventure series that spans all Star Wars eras featuring LEGO versions of the fresh faces of the Star Wars galaxy alongside iconic heroes including Kylo Ren, R2-D2, Young Han, Chewie, Young Lando, BB-8 and General Leia.",2018,TV-Y7,16,"['animation', 'action', 'comedy', 'scifi']",['US'],1.0,tt9297164,6.5,303.0,5.739,7.3
ts85902,Disney Junior Music Nursery Rhymes,SHOW,"Nursery rhymes with a magical Disney Junior makeover! Mickey, Minnie, Goofy, Donald, and Daisy are joined by favorite characters from Puppy Dog Pals, Sofia the First, Doc McStuffins, Goldie & Bear and The Lion Guard!",2017,TV-Y,2,"['animation', 'family', 'music']",['US'],2.0,tt9277788,6.4,22.0,1.273,10.0
ts254161,Scuba Sam's World,SHOW,Take a deep dive and learn all about the beloved sea animals in our oceans!,2018,,2,[],['US'],1.0,tt13399116,,,0.6,
ts81382,Coop & Cami Ask The World,SHOW,A pair of middle-school siblings make nearly all of their decisions by crowdsourcing the opinions of their millions of online followers.,2018,TV-G,23,"['family', 'comedy']",['US'],2.0,tt8381724,5.6,504.0,23.515,8.5
ts92367,Rocky Mountain Animal Rescue,SHOW,The extraordinary staff at the Humane Society of the Pikes Peak Region risk their lives and give their hearts to save all animals big and small.,2018,,38,['documentation'],['US'],1.0,tt9395780,8.4,29.0,0.972,
ts56986,Disney's Fairy Tale Weddings,SHOW,"A behind-the-scenes look at weddings and one-of-a-kind engagements that take place at Disney Destinations around the globe, including Walt Disney World, Disneyland and Disney Cruise Lines. Hosted by Ben Higgins and Lauren Bushnell. Included: fashion; products; entertainment; and décor. Also: a surprise musical performance by Pentatonix.",2017,TV-PG,39,"['documentation', 'reality']",['US'],2.0,tt6974848,6.5,168.0,1.875,6.0
ts57455,Billy Dilley’s Super-Duper Subterranean Summer,SHOW,The adventures of science-obsessed Billy Dilley and his lab partners Zeke and Marsha,2017,TV-Y7,22,"['comedy', 'fantasy', 'scifi', 'animation', 'family']",['US'],1.0,tt6412478,3.1,488.0,1.636,7.0
ts81034,Alaska's Grizzly Gauntlet,SHOW,Survival expert Les Stroud explores the world of Alaska's most formidable wildlife and uncovers the secrets to their survival in America's final frontier.,2018,TV-PG,44,['documentation'],['US'],1.0,tt8415880,6.3,47.0,0.858,
ts254582,Best Job Ever,SHOW,"National Geographic explorers have the best jobs ever! Find out what it's like to explore black holes, climb mountains, and go deep-sea diving for a living.",2018,TV-G,2,['documentation'],['US'],1.0,,,,0.604,
ts237134,Love & Vets,SHOW,"Whether it's emergency surgery on a dog that's eaten an engagement ring, a middle-of-the-night house call, or playing an owner's recorded goodnight message for one of their boarded pets, doctors Will Draper and Fran Tyler offer full-service treatment for the domestic pets and owners who call Metro Atlanta home. But running a successful vet practice while juggling the demands of a busy family life-which includes their four teens, four dogs, two cats and grandma down the street-can lead to some hairy situations. Add on top of that two popular restaurants, and life can really get hopping.",2017,TV-PG,44,['documentation'],['US'],1.0,,,,0.6,
ts286381,Tangled: Short Cuts,SHOW,,2017,,2,"['animation', 'comedy', 'family', 'fantasy']",['US'],1.0,tt12695540,7.4,14.0,,
ts254331,"Weirdest, Bestest, Truest",SHOW,Siblings Kirby and Charlie share strange discoveries and fun facts from the world of Weird But True! And Charlie gives a behind-the-scenes look at what it takes to create these action-packed episodes.,2018,TV-G,2,[],['US'],1.0,,,,0.857,
ts251368,Destination World,SHOW,Exploring the natural extremes of the continents.,2018,,2,['documentation'],['US'],1.0,tt14630178,,,0.6,
ts109332,Howie Mandel's Animals Doing Things,SHOW,,2018,TV-14,30,['comedy'],['US'],2.0,tt8598154,3.6,64.0,,
ts213957,Mexico Untamed,SHOW,"Each of Mexico Untamed distinct colorful landscapes is characterised by the animals who live there. Charismatic travelers roam the oceans, forests and deserts, revealing drama and surprising behaviors. Predator and prey fight age-old battles for survival. Males and females of the most iconic species go to extreme measures to ensure the safe arrival of a new generation.",2018,,44,['documentation'],['NZ'],1.0,tt10389464,7.3,22.0,0.893,
ts80441,Awesome Animals,SHOW,"The National Geographic Kids channel is an exciting place to discover the very best of YouTube. Check back each day for a new video about awesome animals, cool science, funny pets, and more. We've also got curated playlists made just for curious kids like you to explore, laugh, and learn. So pick a topic you love and start watching today! Catch your favorite Nat Geo Kids videos during WILD KiDS on Saturday mornings on Nat Geo WILD. Check local listings for times.",2017,,25,[],['US'],1.0,tt12204682,,,1.72,
ts254154,Sam's Zookeeper Challenge,SHOW,"Find out if Sam has what it takes to hang with animals in ""Zookeeper's Challenge."" Watch as Sam is challenged to feed, clean, and care for Kinkajous, Giraffes, Penguins, and more!",2018,,3,[],['US'],1.0,tt13325238,,,0.6,
ts251352,Fearless Adventures with Jack Randall,SHOW,Jack does crazy things with wild animals to help protect and study them. Really crazy. And maybe dangerous. But Jack is a TRAINED EXPERT. DO NOT DO WHAT JACK DOES. Seriously. Approaching and handling wild animals can be dangerous. REALLY. Just don’t do it!,2018,,4,[],['US'],1.0,,,,0.6,
ts80440,What Sam Sees,SHOW,"Jump into the water with scuba diver Sam and discover the amazing world of underwater animals. The Sam Cam gives you a secret look at her ocean adventures, which she goes on with aquarium experts whose exclusive interviews add more fun to the journey.",2018,TV-G,6,[],['US'],1.0,tt13326050,,,3.225,
ts84392,The Mandalorian,SHOW,"After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.",2019,TV-14,40,"['scifi', 'action', 'fantasy']",['US'],3.0,tt8111088,8.7,425001.0,166.305,8.5
